batch_or_source,source_file_path_analyzed,destination_fixed_content_path,source_exists,destination_exists,notes
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-005\machatzit-hashekel\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-005\machatzit-hashekel\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-005\mishnah-berurah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-005\mishnah-berurah\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-006\mishnah-berurah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-006\mishnah-berurah\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-008\mishnah-berurah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-008\mishnah-berurah\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-011\beur-hagra\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-011\beur-hagra\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-011\machatzit-hashekel\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-011\machatzit-hashekel\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-012\mishnah-berurah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-012\mishnah-berurah\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-014\mishnah-berurah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-014\mishnah-berurah\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-016\beer-hagolah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-016\beer-hagolah\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-017\mishnah-berurah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-017\mishnah-berurah\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-020\mishnah-berurah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-020\mishnah-berurah\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-022\baer-heitev\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-022\baer-heitev\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-025\mishnah-berurah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-025\mishnah-berurah\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-043\ateret-zekenim\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-043\ateret-zekenim\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman13\seif-002\yad-ephraim\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman13\seif-002\yad-ephraim\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman132\seif-001\biur-halacha\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman132\seif-001\biur-halacha\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman133\seif-001\eliyah-rabbah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman133\seif-001\eliyah-rabbah\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman135\seif-001\mishnah-berurah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman135\seif-001\mishnah-berurah\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman135\seif-002\ateret-zekenim\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman135\seif-002\ateret-zekenim\en.html,true,true,
Prompt C - OC corpus garbage fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman135\seif-004\mishnah-berurah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman135\seif-004\mishnah-berurah\en.html,true,true,
Prompt C - OC corpus garbage fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman139\seif-010\beur-hagra\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman139\seif-010\beur-hagra\en.html,true,true,
Prompt C - OC corpus garbage fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman151\seif-001\mishnah-berurah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman151\seif-001\mishnah-berurah\en.html,true,true,
Prompt C - OC corpus garbage fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman151\seif-010\mishnah-berurah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman151\seif-010\mishnah-berurah\en.html,true,true,
codex_work_done.md prompt list biur-halacha,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman151\seif-011\biur-halacha\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman151\seif-011\biur-halacha\en.html,true,true,extracted from commentator file list in combined thread MD
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman153\seif-009\biur-halacha\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman153\seif-009\biur-halacha\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman154\seif-006\levushei-serad\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman154\seif-006\levushei-serad\en.html,true,true,
codex_work_done.md prompt list shaarei-teshuvah,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman158\seif-007\shaarei-teshuvah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman158\seif-007\shaarei-teshuvah\en.html,true,true,extracted from commentator file list in combined thread MD
codex_work_done.md prompt list peri-megadim,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman159\seif-004\peri-megadim\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman159\seif-004\peri-megadim\en.html,true,true,extracted from commentator file list in combined thread MD
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman159\seif-007\turei-zahav\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman159\seif-007\turei-zahav\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman16\seif-001\ateret-zekenim\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman16\seif-001\ateret-zekenim\en.html,true,true,
Prompt C - OC corpus garbage fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman161\seif-001\baer-heitev\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman161\seif-001\baer-heitev\en.html,true,true,
Prompt C - OC corpus garbage fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman162\seif-010\mishnah-berurah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman162\seif-010\mishnah-berurah\en.html,true,true,
codex_work_done.md extracted full path; codex_work_done.md prompt list biur-halacha,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman167\seif-012\biur-halacha\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman167\seif-012\biur-halacha\en.html,true,true,extracted from combined thread MD; extracted from commentator file list in combined thread MD
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman167\seif-016\ateret-zekenim\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman167\seif-016\ateret-zekenim\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman168\seif-013\beur-hagra\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman168\seif-013\beur-hagra\en.html,true,true,
Prompt C - OC corpus garbage fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman170\seif-001\mishnah-berurah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman170\seif-001\mishnah-berurah\en.html,true,true,
codex_work_done.md extracted full path,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman174\seif-005\beer-hagolah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman174\seif-005\beer-hagolah\en.html,true,true,extracted from combined thread MD
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman177\seif-005\mishnah-berurah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman177\seif-005\mishnah-berurah\en.html,true,true,
Prompt C - OC corpus garbage fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman182\seif-002\machatzit-hashekel\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman182\seif-002\machatzit-hashekel\en.html,true,true,
Prompt C - OC corpus garbage fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman182\seif-002\magen-avraham\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman182\seif-002\magen-avraham\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman189\seif-001\shaarei-teshuvah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman189\seif-001\shaarei-teshuvah\en.html,true,true,
Prompt C - OC corpus garbage fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman20\seif-001\machatzit-hashekel\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman20\seif-001\machatzit-hashekel\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman208\seif-017\biur-halacha\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman208\seif-017\biur-halacha\en.html,true,true,
Prompt C - OC corpus garbage fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman223\seif-002\baer-heitev\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman223\seif-002\baer-heitev\en.html,true,true,
codex_work_done.md prompt list peri-megadim,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman225\seif-001\peri-megadim\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman225\seif-001\peri-megadim\en.html,true,true,extracted from commentator file list in combined thread MD
Prompt C - OC corpus garbage fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman225\seif-009\mishnah-berurah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman225\seif-009\mishnah-berurah\en.html,true,true,
Prompt C - OC corpus garbage fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman225\seif-010\mishnah-berurah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman225\seif-010\mishnah-berurah\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman242\seif-001\turei-zahav\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman242\seif-001\turei-zahav\en.html,true,true,
Prompt C - OC corpus garbage fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman246\seif-003\mishnah-berurah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman246\seif-003\mishnah-berurah\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman25\seif-002\eliyah-rabbah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman25\seif-002\eliyah-rabbah\en.html,true,true,
Prompt C - OC corpus garbage fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman250\seif-001\beer-hagolah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman250\seif-001\beer-hagolah\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman251\seif-002\yad-ephraim\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman251\seif-002\yad-ephraim\en.html,true,true,
Prompt D - OC Rabbi Akiva Eiger garbage fixes; codex_work_done.md extracted full path,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman252\seif-002\rabbi-akiva-eiger\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman252\seif-002\rabbi-akiva-eiger\en.html,true,true,extracted from combined thread MD
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman252\seif-006\yad-ephraim\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman252\seif-006\yad-ephraim\en.html,true,true,
Prompt C - OC corpus garbage fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman257\seif-001\baer-heitev\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman257\seif-001\baer-heitev\en.html,true,true,
Prompt C - OC corpus garbage fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman257\seif-004\beer-hagolah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman257\seif-004\beer-hagolah\en.html,true,true,
codex_work_done.md extracted full path,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman257\seif-005\beer-hagolah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman257\seif-005\beer-hagolah\en.html,true,true,extracted from combined thread MD
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman262\seif-001\magen-avraham\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman262\seif-001\magen-avraham\en.html,true,true,
codex_work_done.md extracted full path,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman262\seif-002\beer-hagolah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman262\seif-002\beer-hagolah\en.html,true,true,extracted from combined thread MD
codex_work_done.md extracted full path,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman262\seif-003\beer-hagolah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman262\seif-003\beer-hagolah\en.html,true,true,extracted from combined thread MD
Prompt C - OC corpus garbage fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman262\seif-003\beur-hagra\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman262\seif-003\beur-hagra\en.html,true,true,
Prompt C - OC corpus garbage fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman264\seif-001\biur-halacha\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman264\seif-001\biur-halacha\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman267\seif-002\shaarei-teshuvah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman267\seif-002\shaarei-teshuvah\en.html,true,true,
Prompt C - OC corpus garbage fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman268\seif-005\peri-megadim\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman268\seif-005\peri-megadim\en.html,true,true,
Prompt C - OC corpus garbage fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman269\seif-001\machatzit-hashekel\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman269\seif-001\machatzit-hashekel\en.html,true,true,
Prompt C - OC corpus garbage fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman271\seif-002\mishnah-berurah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman271\seif-002\mishnah-berurah\en.html,true,true,
Prompt C - OC corpus garbage fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman271\seif-011\mishnah-berurah\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman271\seif-011\mishnah-berurah\en.html,true,true,
